2025-05-22 16:03:53,769 - root - INFO - Step: 120 | Loss: 7.86 | Tokens per second: 7322.21 | Training tokens per second (%): 26.43 | MFU (%): 38.16 | TFLOPs: 377.40
2025-05-22 16:03:53,777 - root - INFO - Step: 120 | Loss: 7.86 | Tokens per second: 7322.95 | Training tokens per second (%): 26.43 | MFU (%): 38.16 | TFLOPs: 377.43
2025-05-22 16:03:53,779 - root - INFO - Step: 120 | Loss: 7.86 | Tokens per second: 7315.93 | Training tokens per second (%): 26.43 | MFU (%): 38.13 | TFLOPs: 377.07
2025-05-22 16:03:53,779 - root - INFO - Step: 120 | Loss: 7.86 | Tokens per second: 7321.10 | Training tokens per second (%): 26.43 | MFU (%): 38.15 | TFLOPs: 377.34
2025-05-22 16:03:56,279 - root - INFO - Step: 125 | Loss: 8.16 | Tokens per second: 8161.82 | Training tokens per second (%): 24.73 | MFU (%): 42.53 | TFLOPs: 420.67
2025-05-22 16:03:56,287 - root - INFO - Step: 125 | Loss: 8.16 | Tokens per second: 8169.66 | Training tokens per second (%): 24.73 | MFU (%): 42.58 | TFLOPs: 421.07
2025-05-22 16:03:56,289 - root - INFO - Step: 125 | Loss: 8.16 | Tokens per second: 8163.21 | Training tokens per second (%): 24.73 | MFU (%): 42.54 | TFLOPs: 420.74
2025-05-22 16:03:56,290 - root - INFO - Step: 125 | Loss: 8.16 | Tokens per second: 8153.39 | Training tokens per second (%): 24.73 | MFU (%): 42.49 | TFLOPs: 420.24
2025-05-22 16:03:58,788 - root - INFO - Step: 130 | Loss: 8.66 | Tokens per second: 8165.97 | Training tokens per second (%): 17.81 | MFU (%): 42.56 | TFLOPs: 420.88
2025-05-22 16:03:58,796 - root - INFO - Step: 130 | Loss: 8.66 | Tokens per second: 8172.92 | Training tokens per second (%): 17.81 | MFU (%): 42.59 | TFLOPs: 421.24
2025-05-22 16:03:58,797 - root - INFO - Step: 130 | Loss: 8.66 | Tokens per second: 8164.24 | Training tokens per second (%): 17.81 | MFU (%): 42.55 | TFLOPs: 420.79
2025-05-22 16:03:58,799 - root - INFO - Step: 130 | Loss: 8.66 | Tokens per second: 8167.98 | Training tokens per second (%): 17.81 | MFU (%): 42.57 | TFLOPs: 420.99
